Time,Fish,Bear
0,10,10
1,10,10
2,10,10
3,10,10
4,10,10
5,10,10
6,10,10
7,10,10
8,10,10
9,10,10
10,10,10
11,10,10
12,10,10
13,10,10
14,10,10
15,10,10
16,10,10
17,10,10
18,10,10
19,10,10
20,10,10
21,10,10
22,10,10
23,10,10
24,10,10
25,10,10
26,10,10
27,10,10
28,10,10
29,10,10
30,10,10
31,10,10
32,10,10
33,10,10
34,10,10
35,10,10
36,10,10
37,10,10
38,10,10
39,10,10
40,10,10
41,10,10
42,10,10
43,10,10
44,10,10
45,10,10
46,10,10
47,10,10
48,10,10
49,10,10
50,10,10
51,10,10
52,10,10
53,10,10
54,10,10
55,10,10
56,10,10
57,10,10
58,10,10
59,10,10
60,10,10
61,10,10
62,10,10
63,10,10
64,10,10
65,10,10
66,10,10
67,10,10
68,10,10
69,10,10
70,10,10
71,10,10
72,10,10
73,10,10
74,10,10
75,10,10
76,10,10
77,10,10
78,10,10
79,10,10
80,10,10
81,10,10
82,10,10
83,10,10
84,10,10
85,10,10
86,10,10
87,10,10
88,10,10
89,10,10
90,10,10
91,10,10
92,10,10
93,10,10
94,10,10
95,10,10
96,10,10
97,10,10
98,10,10
99,10,10
100,10,10
101,10,10
102,10,10
103,10,10
104,10,10
105,10,10
106,10,10
107,10,10
108,10,10
109,10,10
110,10,11
111,10,11
112,10,11
113,10,11
114,10,11
115,10,11
116,10,11
117,10,12
118,10,12
119,10,12
120,10,12
121,10,12
122,10,12
123,10,12
124,10,12
125,10,12
126,10,12
127,10,11
128,10,11
129,10,11
130,10,11
131,10,11
132,10,12
133,10,12
134,9,12
135,9,12
136,9,12
137,9,12
138,9,12
139,9,12
140,9,12
141,9,11
142,9,11
143,9,11
144,10,11
145,10,11
146,10,11
147,10,11
148,10,11
149,10,11
150,10,11
151,10,12
152,10,12
153,10,12
154,10,13
155,10,13
156,10,13
157,10,13
158,10,13
159,10,13
160,10,13
161,10,13
162,10,13
163,10,13
164,10,13
165,9,13
166,9,13
167,9,13
168,9,13
169,9,13
170,9,13
171,9,13
172,9,13
173,9,13
174,9,13
175,9,13
176,9,13
177,10,13
178,10,12
179,10,12
180,10,12
181,10,12
182,10,12
183,10,12
184,10,12
185,10,12
186,10,13
187,10,13
188,10,13
189,10,13
190,10,13
191,10,13
192,10,13
193,10,13
194,10,13
195,10,13
196,10,13
197,10,13
198,10,13
199,10,13
200,10,13
201,10,12
202,10,12
203,10,11
204,10,11
205,10,11
206,10,11
207,10,12
208,10,12
209,10,12
210,10,12
211,10,12
212,11,12
213,11,12
214,11,12
215,11,13
216,11,13
217,12,13
218,12,13
219,12,13
220,12,13
221,12,14
222,12,14
223,12,14
224,12,14
225,12,14
226,12,15
227,12,15
228,12,15
229,12,14
230,12,14
231,12,14
232,12,14
233,12,14
234,12,14
235,12,14
236,12,14
237,12,14
238,12,14
239,12,14
240,12,14
241,12,14
242,12,14
243,12,14
244,12,14
245,12,14
246,12,14
247,12,14
248,12,14
249,12,14
250,12,13
251,12,13
252,12,13
253,12,13
254,12,13
255,12,13
256,12,12
257,12,12
258,12,12
259,12,12
260,12,12
261,12,12
262,12,12
263,13,12
264,13,12
265,13,12
266,13,12
267,13,12
268,13,12
269,13,12
270,13,12
271,13,12
272,13,12
273,12,12
274,12,12
275,12,12
276,12,12
277,12,12
278,12,12
279,12,12
280,12,12
281,13,12
282,13,12
283,13,12
284,13,12
285,13,12
286,13,12
287,13,11
288,13,11
289,13,11
290,13,12
291,13,12
292,13,12
293,13,12
294,14,12
295,14,12
296,14,12
297,14,12
298,14,12
299,14,13
300,14,13
301,14,13
302,14,13
303,14,12
304,14,11
305,14,11
306,14,11
307,14,11
308,14,11
309,14,10
310,14,10
311,14,10
312,14,10
313,14,10
314,14,10
315,14,10
316,14,10
317,14,10
318,14,10
319,14,10
320,14,11
321,14,11
322,14,11
323,14,11
324,14,11
325,14,11
326,14,11
327,14,11
328,14,11
329,14,12
330,14,12
331,14,12
332,14,12
333,14,12
334,14,12
335,14,12
336,14,12
337,14,12
338,14,12
339,14,12
340,14,12
341,14,12
342,14,12
343,14,12
344,14,12
345,14,12
346,14,12
347,14,12
348,14,12
349,14,12
350,14,12
351,14,12
352,14,12
353,14,12
354,14,12
355,14,12
356,14,12
357,14,12
358,14,11
359,14,11
360,14,11
361,14,11
362,14,11
363,14,11
364,14,11
365,14,12
366,14,12
367,14,12
368,14,12
369,14,12
370,14,12
371,14,12
372,14,12
373,14,13
374,15,13
375,15,13
376,15,13
377,15,13
378,15,13
379,15,13
